운전 배우다 원하다|운전교육 신청하러 오셨어요?
전주 한옥 마을|전주 한옥마을
전주 곳 구경 또 먹다 곳 많다|전주 한옥마을에는 볼거리는 물론 먹거리가 많습니다
체험 곳 많다 때문 구경 여행 한국 문화 경험 가능|체험할 수 있는 곳이 많이 있어 가장 한국적인 관광지라고 할 수 있습니다
골목 길 곳 카페 많다 때문 하루 계속 좋다|골목길에 카페가 많이 있어 하루종일 있기 좋습니다
또 전통 한옥 체험 가능|또한 전통 한옥을 체험할 수 있습니다
담양 메타프로방스|담양 메타프로방스
담양 메타프로방스 곳 프랑스 나라 남부 지역 곳 작다 마을 비슷 짓다|담양 메타프로방스는 프랑스 남부 지역의 작은 마을을 모티브로 한 곳입니다
건물 모습 유럽 방문 구경 느끼다 비슷|마치 유럽에 온듯한 건물들이 들어서 있어 이국적인 풍경을 즐길 수 있습니다
상가 곳 다양 체험 또 구경 곳 먹다 곳 많다|상가 내에는 다양한 체험과 볼거리 그리고 먹거리가 가득합니다
마을 곳 물건 싸다 팔다 곳 자다 곳 또 편하다 시설 있다|또한 아울렛, 펜션 등 각종 편의 시설을 갖추고 있는 마을입니다
해남 공룡 박물관|해남 공룡박물관
해남 공룡 박물관 곳 해남 지역 유명하다 구경 여행 곳|해남 공룡박물관은 해남의 명소로 알려져 있습니다
세계 유명 공룡 모습 가짜 만들다|세계적으로 유명한 공룡 모형이 전시되어 있습니다
공룡 박물관 곳 안 야외 다양 공룡 가짜 만들다 구경 가능|공룡박물관에서는 실내와 야외에 전시되어 있는 다양한 공룡 조형물을 볼 수 있습니다 
나이 상관 없다 구경 즐기다 가능 많다|나이 상관없이 즐길 수 있는 것들이 많습니다
해남 땅끝마을|해남 땅끝마을
땅끝마을 곳 우리 나라 한반도 가장 남쪽 땅 시작 곳|우리나라 한반도의 최남단 땅끝마을입니다
전라도 해남 곳 여행 때 땅끝마을 곳 꼭 방문 필요|전라도 해남을 가게 되면 반드시 가봐야 할 곳이 땅끝마을이 아닌가 싶습니다
갈두산 정상 곳 땅끝 구경 보다 가능 곳 있다|갈두산 정상에는 땅끝 전망대가 있습니다
남쪽 바다 멋있다 아름답다 구경 가능|남해의 해안절경과 바다의 아름다움을 감상할 수 있습니다
땅끝 구경 보다 곳 방문 한반도 처음 땅 곳 흙 있다|땅끝 전망대에 올라가면 한반도의 시작이라는 뜻으로 첫땅의 흙이 있습니다
부안 변산 바다 수영 놀다 곳|부안 변산해수욕장
전라북도 부안 구경 여행 좋다 곳 무엇 변산 바다 수영 놀다 곳|전라북도 부안 가볼만한 곳으로 추천하는 장소는 변산해수욕장입니다
멋진 하얗다 모래 또 다양 보다 있다 구경 좋다|멋진 백사장과 다양한 볼거리가 있어 관광하기 좋습니다
변산 바다 수영 놀다 곳 옆 송포항 있다 잠깐 걷다 솔밭 멋있다 곳 있다|변산해수욕장 옆에 자리한 송포항에서 조금만 걸으면 멋진 솔밭이 나옵니다
또 바다 구경 보다 곳 3층 건물 있다 때문 변산 바다 또 하얗다 모래 보다 가능|또한 3층 높이의 해변 전망대가 있어 변산 해변과 백사장을 한눈에 볼 수 있습니다
7월 때 바다 수영 놀다 즐기다 구경 사람 방문 많다|7월이 되면 해수욕을 즐기려고 오는 사람들이 많은 인기많은 곳입니다
부안 소나무 섬|부안 솔섬
변산 바다 수영 놀다 곳 방문 전라북도 학생 수련 곳 있다|변산해수욕장으로 올라가면 전라북도 학생수련원이 나읍니다 
여기 곳 앞 바다 곳 작다 소나무 섬 있따|이 곳 앞바다에는 작은 솔섬이 있습니다
서쪽 일물 보다 유명 곳 사진 기술 사람 방문 많아 부안 여행 때 꼭 방문 필요|서해 일몰 명소로 사진가들이 많이 찾는 곳으로 부안 여행에서 빼놓을 수 없습니다
제주 지역 구경 여행 좋다 곳|제주 가볼만한 제주도 여행 코스
성산일출봉|성산일출봉
성산일출봉 곳 제주 대표 여행 곳 또 가장 제주 어울리다 곳|성산일출봉은 제주도의 대표적인 여행 코스입니다 가장 제주스러운 곳입니다
산 걷다 오르다 구경 아름답다 좋다|올라가면서 내려다 보는 풍경도 아름답습니다 
중간 곳 기암괴석 보다 가능|하지만 중간에 있는 기암괴석도 큰 볼거리 입니다
산 길이 180m 정도 정상 도착 시간 약 20분 정도|정상까지는 해발 180m로 20분 정도 걸립니다
정산 도착 보다 분화구 있다|정산에 올라서면 성산일출봉의 움푹 파인 분화구가 나옵니다
또 바위 수 99개 있다 모습 성 같다 이름 부르다 성산|또 99개의 바위 봉우리가 성처럼 보인다고 해서 성산이라고 불렀다고 합니다
올라가다 길 내려가다 길 다르다 또 내려가다 길 쉽다 우뭇가 바다 구경 길 걷다|올라가는 길과 내려가는 길이 다릅니다 내려올 때는 쉽게 내려와서 우뭇가해안 탐방로를 따라
성산일출봉 보다 멋있다 곳 까지 가다 가능|성산일출봉이 가장 아름답게 보이는 곳까지 갈 수 있습니다
섭지코지|섭지코지
섭지코지 곳 제주 동쪽 지역 여행 좋다 곳|섭지코지는 대표적인 제주 동쪽 관광지입니다 
성산일출봉 또 광치기 해안 둘 다 보다 가능|성산일출봉과 광치기 해변을 함께 둘러보기 좋은 장소입니다
섭지코지 해안 걷다 곳 길다 있다 해안 독특 멋있다 구경 또 바다 보다 가능|섭지코지는 해안을 따라 긴 산책로가 이어져 독특한 해안 절경과 바다를 동시에 감상할 수 있습니다
언덕 위 평지 곳 조랑말 타다 체험 가능|언덕 위 평원에서는 조랑말 승마체험을 해볼 수도 있습니다
또 언덕 곳 하얀 등대 있다 그 곳 도착 해안 절벽 또 시골 모습 평화롭다 구경 더해서 성산일출봉 보다 가능|또 언덕에 있는 하얀 등대에서는 해안절벽과 평화로운 시골 풍경, 성산일출봉까지 볼 수 있습니다 
광치기 해변|광치기 해변
성산일출봉 섭지코지 중간 있다 이 곳 일출 보다 좋다 유명하다 곳|성산일출봉과 섭지코지 사이에 있는 해변으로 일출 명소입니다
광치기 해변 걷다 좋다 언제? 밀물 썰물 때 물 절반 이상 내려다가 때|광치기 해변을 걷기 좋은 때는 밀물에서 썰물로 바뀌면서 물이 절반 이상 빠질 때입니다
해변 길 걷다 성산일출봉 모습 가장 멋있다 보다 가능 곳 있다|해변을 따라 걷다보면 성산일출봉을 가장 아름답게 볼 수 있는 곳이 있습니다
광치기 바다 옆 유채밭 있다|광치기 해변 길 건너편에는 유채밭이 있습니다 
유채꽃 피다 때 구경 가능|유채꽃이 피는 계절에는 유채꽃을 볼 수 있습니다
제주민속촌|제주민속촌
제주 민속촌 동쪽 지역 표선 곳 있다 가장 제주 어울리다 곳|동쪽 표선에 위치한 제주민속촌은 제주에서 가장 제주다운 곳입니다.
옛 제주 모습 유지 곳|제주의 옛모습을 간직하고 있는 공간입니다
옆 5분 잠깐 곳 표선 해수욕장 있다 구경 가눙|바로 옆 5분도 안 걸리는 거리에 표선 해수욕장도 있어 바다도 함께 볼 수 있습니다
이 곳 구경 방법 2가지 있다 걷다 구경|이 곳은 걸어 다니며 관광할 수 있습니다 
또 버스 타다 구경 둘 중 선택 가능|또 순환 버스를 타고 원하는 곳에 내려서 관광하는 방법이 있습니다
전통 돌하르방 또 고인돌 있다 제주 옛 모습 직접 눈 보다 체험 가능|전통 돌하르방도 있고 고인돌도 있어 제주의 옛 문화를 직접 눈으로 보며 체험할 수 있습니다
색 다양 꽃 또 전통 가옥 있다 사진 찍다 좋다 유명하다 곳 |형형색색의 꽃들과 전통 가옥이 있어 사진 찍기에도 아주 좋은 장소입니다
함덕 바다 수영 놀다 곳|함덕해수욕장
제주도 동쪽 지역 바다 예쁘다 곳 많다|제주도 동쪽에는 예쁜 해변이 몇 군데 있습니다 
가운데 하나 함덕 바다 수영 놀다 곳|그 중 하나가 함덕해수욕장입니다
제주 함덕 바다 곳 모래 하얗다 또 물 깨끗하다|제주 함덕 해변은 하얀 모래와 맑은 물이 있습니다
서우봉 곳 걷다 함덕 바다 눈 보다 가능|가볍게 산책하기 좋은 서우붕에서 함덕 해변을 한 눈에 볼 수 있습니다
서우봉 걷다 중간 구경 곳 있다|서우봉 중간쯤에는 전망대가 있습니다
또 유채꽃 밭 있다 때문 봄 때 여행 사람 많다 방문 구경 여행 있다|그리고 유채꽃 밭이 있어 봄이면 많은 여행자들이 찾는 곳입니다
초록 색 바다 또 노랗다 유채 꽃 보다 가능 곳|아름다운 에메랄드 빛과 노란 유채가 만나는 풍경을 눈으로 볼 수 있습니다
월정리 바다|월정리 해변
월정리 바다 곳 제주 바다 유명 가운데 하나 물 색 초록색 또 모래 은빛 색|월정리 해변은 에메랄드 빛 바다와 은빛 모래사장이 있는 제주의 유명한 해변입니다
바다 옆 도로 곳 작다 예쁘다 카페 있다|해안도로를 따라 아담하고 예쁜 카페가 있습니다 
카페 곳 커피 마시다 바다 구경 가능|그 곳에서 커피 한 잔 마시며 바다를 즐길 수 있습니다
또 길 곳 의자 작다 있다 앉다 뒤 바다 있다 사진 찍다 멋있다 곳|또 길가에 작은 의자가 있어 바다를 배경으로 사진 찍기에도 좋은 곳입니다
제주 오설록 차 박물관|제주 오설록 티뮤지엄
제주 오설록 차 박물관 곳 국내 처음 차 박물관|제주 오설록 티뮤지엄은 국내 최초의 차 전문 박물관입니다
차 구경 곳 국내 가장 크다 2002년 처음 열리다|국내 최대 규모의 차 종합 전시관으로 2002년 개관했습니다
우리 나라 차 문화 전통 또 역사 배우다 가능 곳|우리나라의 차 문화와 전통, 역사를 만날 수 있는 곳입니다
오설록 곳 만들다 물건 차 구경 곳|오설록에서 만드는 제품과 차에 대한 전시관으로 구성되어 있습니다 
제주 여행 방문 인기 많다 제주 오설록 차 박물관 곳|제주 오설록 티뮤지엄은 드넓은 녹차밭이 있습니다
넓다 크다 녹차밭 또 카페 방문 구경 즐기다 가능|또 카페까지 즐길 수 있는 인기만점 제주 관광지입니다
충청도 지역 구경 여행 좋다 곳|충청도 가볼만한 여행 코스
공주 한옥 마을|공주 한옥마을
공주 한옥 마을 곳 숙소 목적 짓다|공주 한옥마을은 숙박업소로 만든 곳입니다
공주 곳 주말 때 걷다 구경 또 데이트 좋다|주말 나들이나 데이트 하기 좋은 곳인 공주 여행 코스입니다
국립 공주 박물관 또 무령 왕 무덤 곳 중간 있다 함께 구경 좋다|국립공주박물관과 무령왕릉 사이에 있어 함께 둘러보기 좋습니다
마을 뒤 동산 작다 있다 아이 놀다 좋다|마을 뒤에는 자그마한 동산이 있어 아이들이 놓기 좋습니다
또 한옥 마을 눈 보다 구경 가능 곳|또한 한옥 마을이 한 눈에 보여 풍경을 감상하기 좋은 곳입니다
태안 신두리 바다 모래 언덕|태안 신두리 해안사구
태안 신두리 바다 모래 언덕 곳 우리나라 바다 모래 언덕 곳 중 가장 크다|태안 신두리 해안사구는 우리나라 최대 해안사구입니다
2001년 천연 기념 결정 곳 또 한국 구경 여행 좋다 곳|2001년 천연기념물로 지정된 곳으로 한국 관광 100선에 선정되었습니다
모래 언덕 걷다 구경 사막 느끼다 비슷|모래언덕을 지나면 마치 사막 느낌이 나는 곳이 있습니다
다르다 나라 구경 느끼다 비슷 즐기다 가능|이국적인 풍경을 즐길 수 있습니다
태안 천리포 나무 구경 곳|태안 천리포수목원
태안 천리포 나무 구경 곳 우리 나라 나무 구경 곳 중 가장 크다 곳|태안 천리포 수목원은 우리나라에서 최고의 수목원입니다
정원 곳 다양 꽃 어마어마 많다 때문 구경 멋있다|정원에는 수많은 꽃들이 심겨져 있어 아름다운 풍경을 즐길 수 있습니다
1960년 부터 천리포 바다 옆 곳 천리포 나무 구경 곳 짓다 시작|천리포 수목원은 1960년 초부터 천리포 해변에 본격적으로 조성했습니다
보령 해저 터널|보령 해저터널
보령 해저 터널 곳 대천 바다 수영 놀다 곳 가깝다 대천항 출발 원산도 연결|대천해수욕장에서 가까운 대천항에서 출발해 원산도를 연결하는 보령 해저터널입니다 
보령 해저 터널 곳 국내 가장 길다 세계 5번째 길다|해저터널로는 국내에서 가장 길고 세계에서 5번째로 깁니다
터널 마지막 곳 원산도 곳 저두 바다 수영 놀다 곳 있다|터널을 지나오면 원산도에 있는 저두해수욕장을 볼 수 있습니다
보령 꽃지 바다 수영 놀다 곳|보령 꽃지해수욕장
보령 꽃지 바다 수영 놀다 곳 우리 나라 가운데 가장 일몰 유명|보령 꽃지해수욕장은 우리나라 최고의 일몰 명소 중 하나입니다
서해 일몰 유명 곳 때문 사진 기술 사람 방문 많다|서해 일몰 명소이기 때문에 사진가들이 일몰을 찍기 위해 많이 방문합니다
하얗다 모래 넓다 약 5km 정도 또 할머니 바위 할아버지 바위 있다 구경 멋있다|5km에 이르는 백사장과 할미바위와 할아비바위가 있어 멋있는 풍경을 볼 수 있습니다
서해 해 지다 모습 아름답다 때문 우리 나라 구경 여행 좋다 곳 선택 결정|서해 낙조는 아름다운 풍경으로 우리나라 관광지로 선정되었습니다
논산 은빛 자연 편안 쉬다 숲|논산 온빛자연휴양림
논산 은빛 자연 편안 쉬다 숲 곳우리 나라 편안 쉬다 숲 곳 하지만 다르다 나라 여행 느끼다 비슷|논산 은빛 자연 휴양림은 이국적인 풍경이 가득한 우리나라 휴양림입니다
메타세쿼이아 나무 많다 때문 사진 좋다 곳|메타세쿼이아 나무가 가득해 사진 찍기에 좋은 장소입니다
또 메타세쿼이아 나무 잘 어울리다 집 있다 다르다 나라 구경 여행 느끼다 비슷|또한 메타세쿼이아 나무와 잘 어울리는 집들이 있어 다른 나라가 온듯합니다
조용 얌전 걷다 마음 스트레스 줄이다 도움|조용히 산책이 가능해 절로 힐링이 되는 곳입니다 레몬 과 귤 비타민 시 많다|레몬과 귤은 비타민 C가 많다
미희 와 지수 여고 동창|미희와 지수는 여고 동창이다
말하다 보다 그 소설가 시인 또는 아마|말하는 것으로 보아 그는 소설가나 시인일 것이다
바자회 물품 으로 책 또 옷 받다 있다|바자회 물품으로 책이나 옷을 받고 있다
그 사람 염치 그리고 체면없다|그 사람은 염치고 체면이고가 없어
책 그리고 책상 다 타다 끝|책이고 책상이고 다 타 버렸다
청소 그리고 빨래 쉬다 없다 하다 하지만 집안일 끝 없다|청소니 빨래니 쉬지 않고 해도 집안일은 끝이 없다
떡 그리고 과일 배부르다 먹다 끝|떡이니 과일이니 잔뜩 먹었다
그 농구 그리고 축구 못하다 운동 없다|그는 농구다 축구다 못하는 운동이 없다
연습 그리고 레슨 시간 하나 없다|연습이다 레슨이다 시간이 하나도 없다
백화점 가다 구두 모자 그리고 원피스 사다 끝|백화점에 가서 구두랑 모자랑 원피스랑 샀다
떡 그리고 과일 많다 먹다 끝|떡이랑 과일이랑 많이 먹었다
교수 또 정치가 또 내로라하다 저명인사 모두 모이다 끝|교수며 정치가며 내로라하는 저명인사가 모두 모였다
옷 또 신 죄다 흩어지다 있다|옷이며 신이며 죄다 흩어져 있었다
붓 그리고 먹 가져오다|붓하고 먹을 가져오너라
시골 에서 쌀 그리고 무 그리고 배추 보내오다 끝|시골에서 쌀하며 무하며 배추하며 보내왔다
잔칫집 에서 밥 떡 그리고 술 아주 잘 먹다 끝|잔칫집에서 밥에 떡에 술에 아주 잘 먹었다
미역과 다시마는 칼슘이 많다|미역 과 다시마 칼슘 많다
대륙 과 해양 기후 다르다|대륙과 해양은 기후가 다르다
너 와 나 아니다 면 우리 조국 지키다|너와 내가 아니면 우리 조국을 누가 지키랴
건강 위하다 담배 또 술 끊다 꼭|건강을 위해 담배나 술을 끊어야 한다
그 일 학벌 그리고 뭐 다 소용없다|그 일에는 학벌이고 뭐고 다 소용없다
슬픔 그리고 기쁨 다 느끼다 못하다|슬픔이고 기쁨이고 다 느끼지 못한다
시장 사과 그리고 배 온갖 과일 다 있다|시장에는 사과니 배니 온갖 과일이 다 있다
잡채 그리고 불고기 다 차리다 주다 끝|잡채다 불고기다 있는 것은 다 차려 주었다
나 영희 철수 그리고 영수 나 집 초대하다 끝|나는 영희랑 철수랑 영수를 우리 집에 초대했다
잔칫상 배 또 대추 또 사과 여러가지 과일 차리다 있다|잔칫상에는 배며 대추며 사과며 여러 가지 과일이 차려져 있었다
그림 또 조각 또 미술품 으로 차다 화실|그림이며 조각이며 미술품으로 가득 찬 화실
어머니 그리고 언니 다 직장 다니다|어머니하고 언니하고 다 직장에 다닌다
아버지 책 연필 그리고 장난감 여러가지 많이 사다 받다 끝|아버지가 책에 연필에 장난감에 이것저것 많이 사 주셨다
주인 많다 드세요 권하다|주인이 많이 드세요라고 권한다
나 사장님 만세 말하다|내가 사장님 만세라 했던가
가게 휴가 중 메모 붙다 있다|가게에는 ‘휴가 중이라고 메모가 붙어 있었다
문 곳 입춘대길 쓰다 있다 끝|문에는 ‘입춘대길이라 쓰여 있었다
아내 나에게 묻다 낙엽 밟다 소리 좋다|아내는 나더러 낙엽 밟는 소리가 좋으냐고 물었다
서울 눈 많다 내리다 아마|서울에는 눈이 많이 내렸다나 어쨌다나
요리사 많다 드세요 권하다|요리사가 많이 드세요 라고 권한다
조카 나에게 묻다 삼촌 비가 내리다 소리 좋다|조카가 나에게 삼촌은 비 내리는 소리가 좋으세요 라고 물었다
그 먹보 떡 도 좋다 나에게 말하다 때 알다 되다|그 먹보가 떡도 좋지라 할 때는 알아보았어야지
팻말 금지구역 쓰다 있다 끝|팻말에는 ‘금지구역이라고 쓰여 있었다
아직 도 너 잘하다 생각하다|아직도 네가 잘했다고 생각하느냐?
나에게 자기 대신가다 아마|나더러 자기 대신 가라나 어쩌라나
아무리 바쁘다 도 식사 것 하다 꼭 되다|아무리 바쁘더라도 식사는 해야지
아무리 하다 도 흥분 가라앉다 아직|아무리 해도 흥분이 가라앉질 않았다
너 어째서 혼자 시장에 가다|너는 어쩌자고 혼자 시장에를 갔니
영어 것 지문자 철수 도사|영어야 철수가 도사지
너 도 잘못 있다|너에게도 잘못은 있다
너 먹다 싶다 대로 마음껏 마시다|네가 먹고 싶은 대로 맘껏을 마셔라
사람 그 더 이상 없다 좋다|사람이야 더할 나위 없이 좋지
김 교수 정말 이것 시대의 학자|김 교수야말로 이 시대의 학자다
통일 정말 우리 받다 되다 최대|통일이야말로 우리에게 주어진 최대의 과업이지
형편 어렵다 되다 때문 친구하나 찾다 할 수 없다|형편이 어려워지니 친구라곤 하나도 찾을 수 없다
인정 것 눈곱도 없다 사람|인정이라고는 눈곱만큼도 없는 사람
남편 마저 미덥다 못하다|남편마저 미덥지가 못하다
나 김밥 것 먹다 싶다|나는 김밥이 먹고 싶다
그 말 백 도 더 말하다 같다|그 말은 백 번도 더 했잖니
그것 참 신통하다|그것 참 신통하군그래
앞으로 자주 만나다 부탁하다|앞으로는 자주 만납시다그려
새벽 곧 떠나다|새벽같이 떠난다
그 만나다 꼭 만 모든 문제 해결 할 수 있다|그를 만나야만 모든 문제가 해결될 수 있다
책 뜻 무엇 표지 보다 내용 더 중요하다|책이란 표지보다 내용이 더 중요하다
뒤+돌아보다 표정 안되다|뒤를 돌아보아선 안 돼
놀다 가다 도 멀리 가다 말다|놀러 가더라도 멀리는 가지 마라
한시간 도 쉬다 못하다|한 시간도 쉬질 못했어
전화를 받다 꼭 주문 것 받다|전화가 걸려를 와야 주문을 받지요
이제 범인 밝히다 되다|이제야 범인이 밝혀지는군
며칠 밤새우다 쯤 것 견디다 할수있다|며칠 밤새우는 것쯤이야 견딜 수 있다
8월 내내 비 하나 내리다 없다|8월 내내 비라고는 한 방울도 내리지 않았다
시장 것 마을 딱하나 밖에 없다|시장이라고는 마을에 딱 하나밖에 없었다
네 말 도대체 틀렸다|네 말은 도대체가 틀려먹었다
나 백두산 것 제일 보다 싶다|나는 백두산이 제일 보고 싶다
성적 그렇게 도 중요하다 물음표|성적이 그렇게도 중요한가
그 물건 자네 사다 말하다|그 물건 자네가 사겠다고 하지그래
자네 이야기 좀 부탁하다|자네가 이야기를 좀 하게나 그려
어머니 나에게 말하다 할아버지 허락 받다 꼭 만 하다|어머니는 할아버님께 허락을 받아야만 한다고 말씀하셨다
사람 뜻 무엇 제 분수 지키다 줄 알다 꼭|사람이란 제 분수를 지킬 줄 알아야 한다
바람 때문 꽃 지다|바람에 꽃이 진다
시골 아이 때문 그것 도 모르다|시골 아이라고 그것도 모르겠니
시험관 앞 때문 좀 긴장하다 아마|시험관 앞이라고 좀 긴장했나 봐
이것 고장 사과 때문 유명하다|이 고장은 사과로 유명하다
지각 때문 벌 받다|지각으로 벌을 받는다
이것 일 자네 꼭 감당 할 수 있다|이 일은 자네라야 감당할 수 있을 걸세
요즘 사람들 명절 이나 제사 때 만 고향 찾다 가다|요즘 사람들은 명절이나 제사 때라야만 고향을 찾아간다
마늘 다지다 꼭 음식 본래 맛 나다|마늘은 다진 것이라야 음식이 제 맛이 납니다
아버지 어머니 만들다 음식 꼭 만 먹다|아버지는 어머니가 만든 음식이라야만 드신다
폭우 때문 꽃 지다|폭우에 꽃이 진다
박사 때문 무엇 다알다|박사라고 무엇이든 다 아나?
시골 때문 약국 도 없다 줄 알다|시골이라고 약국도 없는 줄 아니?
오해 때문 싸움 벌어지다|오해로 인하여 싸움이 벌어졌다
가난 때문 학교 중간 그만두다|가난으로 말미암아 학교를 중간에 그만두었다
공사 끝나다 뒤 꼭 대금 지불 할 수 있다|공사가 끝난 뒤에라야 대금을 지불할 수 있다
이것 일 그사람 꼭 할 수 있다|이 일은 그 사람이라야 할 수 있다
그 이것 학교 교사 머무르다|그는 이 학교 교사로 있다
아버지 의 딸 부족 없다 생각|아버지의 딸로서 부족함이 없다고 생각한다
인간 맞다 그런데 어떻게 그것같다 가능|인간으로 어떻게 그럴 수가 있나
자식 입장 마땅하다 하다 일|자식으로서 마땅히 할 일
자식 훌륭하다 사람 키우다 끝|자식을 훌륭한 사람으로 키웠다
진눈깨비 변하다 비 되다|진눈깨비가 비로 변하였다
마음 더 없다 좋다|마음은요 더없이 좋아요
기차 참 빠르다 가다|기차가 참 빨리 가지요
그 이것 학교 영양사 머무르다|그는 이 학교 영양사로 있다
그 남편감 대로 부족 점 많다|그는 남편감으로서는 부족한 점이 많다
회원 가입하다 끝|회원으로 가입했다
사람 맞다 그런데 어찌 그런 일 할 수 있다|사람으로서 어찌 그런 일을 할 수 있나
영희 현숙하다 처녀 성장하다 끝|영희가 현숙한 처녀로 성장했다
어서 읽다 부탁하다|어서요 읽어 보세요
나 모르다|나를 모르겠어요?
한 시민 도둑 싸우다 그 도둑 잡다 끝|한 시민이 도둑과 싸워 그 도둑을 잡았다
그 맞서다 생각 말다|그와 맞서려 하지 마라
사소하다 오해 로 그 애인 헤어지다 끝|사소한 오해로 그는 애인하고 헤어졌다
나 하여금 정의 와 진리 위하다 헌신 하소서|나로 하여금 정의와 진리를 위해 헌신하게 하소서
동생 하여금 집안일 살피다 하다|동생으로 하여금 집안일을 보게 하였다
우리 햇볕 옷 말리다 끝|우리는 햇볕에 옷을 말렸다
이것 약 감기 낫다 순조롭다|이 약은 감기에 잘 듣는다
이것 문제 관하다 보고서 작성하다 오다 부탁하다|이 문제에 관한 보고서를 작성해 오시오
시대 뒤떨어지다 생각 말다|시대에 뒤떨어지는 생각은 하지 마라
아우 하나 있다 그런데 어리석다 마찬가지|아우라고 하나 있는 것도 어리석기는 마찬가지다
이것 도 일 하다 맞다|이것도 일이라고 했니
나 그 의견 찬성하다|나는 그의 의견에 찬성한다
나 화분 물 주다 끝|나는 화분에 물을 주었다
고래 물고기 아니다|고래는 물고기가 아니다
그 반지 것 절대 팔다 생각 말다|그 반질랑 아예 팔 생각 마라
이런 책 것 아이들 읽히다 말다|이런 책을랑 아이들에게 읽히지 마라
그 사람 부르다 말다|그 사람을랑은 부르지 마라
술 것 다시 마시다 말다|술일랑 다시 마시지 마라
폐품 것 다 창고 넣다|폐품일랑은 다 창고에 넣어라
나이 삼십 집 도 있다 차 도 있다|나이 삼십에 집도 있고 차도 있다
침묵 금 마찬가지|침묵은 금이다
하나 시민 범인 싸우다 그 범인 잡다 끝|한 시민이 범인과 싸워 그 범인을 잡았다
용감하다 검사 거대하다 폭력 조직 맞서다 끝|용감한 검사가 거대한 폭력 조직과 맞섰다
그녀 헤어지다 후 한동안 녀석 마음 잡다 못하다 끝|그녀와 헤어진 후 한동안 녀석은 마음을 잡지 못했다
너 더불다 이것 과업 완수하다 싶다|너로 더불어 이 과업을 완수하고 싶다
이것 어디 쓰다 물음표|이걸 어디에 쓸 것인가
이것 시장 선출 때 가장 중시하다 사항|이 점이 시장을 선출하는 데에 있어서 가장 중시되어야 할 사항이다
나 하루 두번 세수하다|나는 하루에 두 번씩 세수를 한다
3년 동안 이곳 농사 짓다 하지만 번번이 실패만 거듭하다|3년 동안 이곳에서 농사라고 지어 보았지만 번번이 실패만 거듭했다
아들 하나 있다 그런데 부모 속 그렇게 썩이다|아들이라고 하나 있는 것이 부모 속을 그렇게 썩이니
그 거짓말 속다 말다|그의 거짓말에 속지 마시오
동생 칭찬 듣다 것 공부 잘하다 때문 아니다|동생이 칭찬을 들은 것은 공부를 잘해서가 아니다
그사람 학생 아니다|그 사람은 학생이 아니다
돈 꾸어가다 달라다 얘기 것 내 나에게 말하다 말다|돈 꾸어 달라는 얘길랑 내 앞에서 꺼내지도 마라
그런 일 것 걱정하다 말다|그런 일을랑 걱정을 하지 마라
미련 것 두다 말다|미련일랑 두지 말자
고구마 굽다 도 먹다 삶다 도 먹다|고구마는 구워도 먹고 삶아도 먹는다
그 양심적|그는 양심적이다
산 곳 눈 내리다 들 곳 비 내리다|산엔 눈이 내리고 들엔 비가 내린다
그 과자 먹다 겪다 끝|그 과자를 먹어는 보았다
인생 짧다 예술 길다|인생은 짧고 예술은 길다
아들 부터 직접 전화를 받다 때문만나다 다름없다|아들에게서 직접 전화를 받았으니 만나는 거나 다름없다
그 대다 못하다|그에게다 댈 것이 못된다
나 어머니 얼굴 많다 닮다|나는 어머니랑 얼굴이 많이 닮았다
철수 영숙 동갑|철수는 영숙이랑 동갑이다
개 늑대 모습 비슷하다|개는 늑대와 비슷하게 생겼다
철수 너 닮다|철수는 너하고 닮았다
아버지 아들 모방 이어내림|그 아버지에 그 아들
그 누가 보다 걸음 빠르다|그는 누구보다도 걸음이 빠르다
이것 보다 어찌 더 나쁘다|이에서 어찌 더 나쁠 수가 있겠어
산 곳 서리 내리다 들 곳 이슬 내리다|산엔 서리가 내리고 들엔 이슬이 내린다
그 사람 누구 모르다 도 훌륭하다 젊은이|그 사람 누군진 몰라도 훌륭한 젊은이다
비 많이 내리다 아니다|비가 많이는 오지 않았다
같다 자매 하지만 저 언니 성격 다르다|같은 자매이지만 저는 언니랑은 성격이 달라요
이것 책 나 갖다 것 같다|이 책은 내가 갖고 있는 것과 같다
빠르다 것 번개 같다|빠르기가 번개와 같다
나 모자 그것 다르다|내 모자는 그것하고 다르다
그 나 보다 두살위|그는 나보다 두 살 위이다
죽다 부모 살다 돌아오다 도 이 보다 더 기쁘다 아니다 아마|죽은 부모가 살아 돌아온들 이에서 더 기쁘지는 않을 것이다
그것 아무나 에게나 묻다 할 수 없다|그런 걸 아무에게나 물어볼 수는 없잖아
그 문학 또 음악 모두 소질 있다|그는 문학이나 음악이나 모두 소질이 있다
그것 가지다|그것이나 가져라
자기 무슨 대장 되다 처럼 굴다|자기가 무슨 대장이나 되는 것처럼 굴더라
그녀 예쁘다 그리고 귀엽다 칭찬 매우 좋아하다|그녀는 예쁘다거나 귀엽다거나 하는 칭찬을 매우 좋아한다
배추 든지 무 든지 마음대로 주세요|배추든가 무든가 아무것이나 주세요
사과 든지 배 든지 다 좋다|사과든지 배든지 다 좋다
오늘 든지 내일 든지 상관없다|오늘이든 내일이든 상관없다
봄 든지 가을든지 한번 여행 다녀오다 꼭|봄이든지 가을이든지 한번 여행을 다녀와야겠다
그 돈 든지 명예 든지 연연하다 아니다|그는 돈이라든지 명예라든지 하는 것에 연연해하지 않는다
